Guerin_tome1-tome12.xml_Register;Guerin_tome1-tome12.xml_Act_number;Guerin_tome1-tome12.xml_Head;Guerin_tome1-tome12.xml_Locus;Guerin_tome1-tome12.xml_File
JJ35;52;I;fol15;Guerin_tome1-tome12.xml
JJ38;98;II;fol51;Guerin_tome1-tome12.xml
JJ35;138;III;fol65;Guerin_tome1-tome12.xml
JJ35;138bis;IV;fol66;Guerin_tome1-tome12.xml
JJ35;134;V;fol58v;Guerin_tome1-tome12.xml
JJ36;144;VI;fol64v;Guerin_tome1-tome12.xml
JJ35;147;VII;fol70v;Guerin_tome1-tome12.xml
JJ36;145;VII;fol65;Guerin_tome1-tome12.xml
JJ37;39;VIII;fol16v;Guerin_tome1-tome12.xml
JJ37;39bis;IX;fol16v;Guerin_tome1-tome12.xml
JJ37;82;X;fol28v;Guerin_tome1-tome12.xml
JJ36;246;XI;fol102;Guerin_tome1-tome12.xml
JJ36;243;XII;fol101v;Guerin_tome1-tome12.xml
JJ38;176;XIII;fol80;Guerin_tome1-tome12.xml
JJ38;84;XIV;fol74v;Guerin_tome1-tome12.xml
JJ38;83;XV;fol74;Guerin_tome1-tome12.xml
JJ38;231;XVI;fol99;Guerin_tome1-tome12.xml
JJ44;73;XVII;fol46v;Guerin_tome1-tome12.xml
JJ42A;7;XVIII;fol67;Guerin_tome1-tome12.xml
JJ40;92;XIX;fol42v;Guerin_tome1-tome12.xml
JJ44;150;XX;fol93v;Guerin_tome1-tome12.xml
JJ44;149;XXI;fol93v;Guerin_tome1-tome12.xml
JJ44;154;XXII;fol96;Guerin_tome1-tome12.xml
JJ44;158;XXIII;fol97;Guerin_tome1-tome12.xml
JJ44;165;XXIV;fol98v;Guerin_tome1-tome12.xml
JJ41;81;XXV;fol52v;Guerin_tome1-tome12.xml
JJ40;89;XXVI;fol40v;Guerin_tome1-tome12.xml
JJ40;151;XXVII;fol78;Guerin_tome1-tome12.xml
JJ41;11;XXVIII;fol9v;Guerin_tome1-tome12.xml
JJ41;123;XXIX;fol74v;Guerin_tome1-tome12.xml
JJ42B;122;XXIX;fol62v;Guerin_tome1-tome12.xml
JJ41;124;XXX;fol77v;Guerin_tome1-tome12.xml
JJ42B;123;XXX;fol64v;Guerin_tome1-tome12.xml
JJ41;174;XXXI;fol99v;Guerin_tome1-tome12.xml
JJ42B;196;XXXI;fol93;Guerin_tome1-tome12.xml
JJ41;193;XXXII;fol109;Guerin_tome1-tome12.xml
JJ42B;192;XXXII;fol91;Guerin_tome1-tome12.xml
JJ41;175;XXXIII;fol100v;Guerin_tome1-tome12.xml
JJ41;202;XXXIV;fol112v;Guerin_tome1-tome12.xml
JJ45;136;XXXV;fol89;Guerin_tome1-tome12.xml
JJ50;79;XXXVI;fol54v;Guerin_tome1-tome12.xml
JJ47;78;XXXVII;fol51v;Guerin_tome1-tome12.xml
JJ46;171;XXXVIII;fol100;Guerin_tome1-tome12.xml
JJ48;183;XXXIX;fol106v;Guerin_tome1-tome12.xml
JJ48;204;XL;fol120v;Guerin_tome1-tome12.xml
JJ49;10;XLI;fol4;Guerin_tome1-tome12.xml
JJ49;68;XLII;fol32v;Guerin_tome1-tome12.xml
JJ49;222;XLIII;fol96v;Guerin_tome1-tome12.xml
JJ50;18;XLIV;fol20;Guerin_tome1-tome12.xml
JJ50;110;XLV;fol71v;Guerin_tome1-tome12.xml
JJ50;121;XLVI;fol77v;Guerin_tome1-tome12.xml
JJ52;22;XLVII;fol8;Guerin_tome1-tome12.xml
JJ52;75;XLVII;fol38;Guerin_tome1-tome12.xml
JJ52;56;XLVIII;fol30;Guerin_tome1-tome12.xml
JJ52;66;XLIX;fol35;Guerin_tome1-tome12.xml
JJ52;100;L;fol53v;Guerin_tome1-tome12.xml
JJ52;201;LI;fol103;Guerin_tome1-tome12.xml
JJ52;230;LII;fol113v;Guerin_tome1-tome12.xml
JJ57(MuséedesArchivesAE*II327);;LIII;fol25;Guerin_tome1-tome12.xml
JJ54B;29;LIV;fol22v;Guerin_tome1-tome12.xml
JJ54A;607;LV;fol46;Guerin_tome1-tome12.xml
JJ54B;52;LVI;fol35;Guerin_tome1-tome12.xml
JJ55;2;LVII;fol2v;Guerin_tome1-tome12.xml
JJ53;34;LVIII;fol13;Guerin_tome1-tome12.xml
JJ53;188;LIX;fol82;Guerin_tome1-tome12.xml
JJ53;276;LX;fol116v;Guerin_tome1-tome12.xml
JJ54A;449;LXI;fol33;Guerin_tome1-tome12.xml
JJ55;17;LXII;fol10v;Guerin_tome1-tome12.xml
JJ53;216;LXIII;fol91;Guerin_tome1-tome12.xml
JJ55;21;LXIV;fol12;Guerin_tome1-tome12.xml
JJ54A;458;LXV;fol33v;Guerin_tome1-tome12.xml
JJ53;281;LXVI;fol118;Guerin_tome1-tome12.xml
JJ53;256;LXVII;fol107;Guerin_tome1-tome12.xml
