Paris_AN_JJ_inventaire_JJ82.xml_Register;Paris_AN_JJ_inventaire_JJ82.xml_Act_number;Paris_AN_JJ_inventaire_JJ82.xml_Head;Paris_AN_JJ_inventaire_JJ82.xml_Locus;Paris_AN_JJ_inventaire_JJ82.xml_File
JJ82;1;1;1r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;2;2;1r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;3;3;1r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;4;4;1v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;5;5;2r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;6;6;2r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;7;7;2v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;8;8;2v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;9;9;4r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;10;10;4v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;11;11;4v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;12;12;5r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;13;13;5v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;14;14;7r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;15;15;7v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;16;16;8r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;17;17;10v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;"17
bis";17bis;10v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;18;18;11v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;19;19;12r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;20;20;12v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;21;21;12v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;22;22;13r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;23;23;14v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;24;24;14v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;25;25;15r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;26;26;15v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;27;27;16r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;28;28;16r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;29;29;16v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;30;30;16v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;31;31;17r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;32;32;17r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;33;33;17v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;34;34;18r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;35;35;18r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;36;36;18v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;37;37;21r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;38;38;24v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;39;39;25r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;40;40;26r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;41;41;26v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;42;42;27r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;43;43;27r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;44;44;28v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;45;45;29v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;46;46;29v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;47;47;30r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;48;48;30v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;49;49;31r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;50;50;32r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;51;51;32r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;52;52;32r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;53;53;33r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;54;54;34r;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;55;55;34v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;56;56;35v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;57;57;35v;Paris_AN_JJ_inventaire_JJ82.xml
JJ82;58;58;36r;Paris_AN_JJ_inventaire_JJ82.xml
