Paris_AN_JJ_inventaire_Gascogne.xml_Register;Paris_AN_JJ_inventaire_Gascogne.xml_Act_number;Paris_AN_JJ_inventaire_Gascogne.xml_Head;Paris_AN_JJ_inventaire_Gascogne.xml_Locus;Paris_AN_JJ_inventaire_Gascogne.xml_File
JJ37;12;1;5;Paris_AN_JJ_inventaire_Gascogne.xml
JJ37;18;2;6-7;Paris_AN_JJ_inventaire_Gascogne.xml
JJ37;34;3;13vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ37;41;4;17vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ37;42;5;17vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ37;47;6;19-19vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;8;7;9vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;13;8;12vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;21;9;19;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;44;10;foL28vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;47;11;30;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;50;12;32;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;85;13;47vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;86;14;48;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;121;15;58;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;125;16;59;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;126;17;59;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;127;18;60;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;128;19;61;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;129;20;61vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;130;21;62vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;131;22;63vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;132;23;63vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;133;24;64;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;166;25;77vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ38;204;26;fol91vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ40;93;27;43vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ40;99;28;48;Paris_AN_JJ_inventaire_Gascogne.xml
JJ40;168;29;87vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ41;44;30;29v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ42B;44;30;26v;Paris_AN_JJ_inventaire_Gascogne.xml
JJ44;54;31;30;Paris_AN_JJ_inventaire_Gascogne.xml
JJ44;45;32;32;Paris_AN_JJ_inventaire_Gascogne.xml
JJ44;143;33;foi89vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;31;34;20-22;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;56;35;41vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;57;36;42;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;58;37;44;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;59;38;44vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ45;60;39;44vo;Paris_AN_JJ_inventaire_Gascogne.xml
JJ46;40;40;39;Paris_AN_JJ_inventaire_Gascogne.xml
