Paris_AN_JJ_inventaire_JJ83.xml_Register;Paris_AN_JJ_inventaire_JJ83.xml_Act_number;Paris_AN_JJ_inventaire_JJ83.xml_Head;Paris_AN_JJ_inventaire_JJ83.xml_Locus;Paris_AN_JJ_inventaire_JJ83.xml_File
JJ83;1;1;1r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;2;2;1v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;3;3;2r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;4;4;3r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;5;5;3v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;6;6;3v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;7;7;4r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;8;8;4v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;9;9;5r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;10;10;7r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;11;11;7v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;12;12;8r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;13;13;8v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;14;14;9r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;15;15;9r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;16;16;9v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;17;17;10r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;18;18;10v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;19;19;11r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;20;20;11v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;21;21;12r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;22;22;12r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;23;23;12v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;24;24;13r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;25;25;13v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;26;26;13v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;27;27;14r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;28;28;14r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;"28
bis";28bis;14v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;29;29;15r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;30;30;15v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;31;31;15v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;32;32;16r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;33;33;16r;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;34;34;16v;Paris_AN_JJ_inventaire_JJ83.xml
JJ83;35;35;16v;Paris_AN_JJ_inventaire_JJ83.xml
