manifestURL;canvasId;imageLabel;urlImage;htmlCode;imageWidthAsDownloaded;imageHeightAsDownloaded;imageWidthAsDeclared;imageHeightAsDeclared;urlResizedImage;ResizedImagehtmlCode;ResizedImageWidthAsDownloaded;ResizedImageHeightAsDownloaded;imageURL_resolved;urlResizedImage_resolved;imageFileName;localExists;checksumMD5
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390730;plat supérieur;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmbfdedgtljq/full/full/0/default.jpg;200;2535;3000;3982;4713;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmbfdedgtljq/full/1200,/0/default.jpg;200;1200;1420;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7452_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7452_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0001.jpg;True;82874fdf70c93a86616e53974005e174
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390731;contre-plat supérieur;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vohk5ki93wko/full/full/0/default.jpg;200;2048;2048;2048;2048;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vohk5ki93wko/full/1200,/0/default.jpg;200;1200;1200;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7452_AB_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7452_AB_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0002.jpg;True;97ae87dced46130172c22596385e32a1
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390732;1r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxd0dt9iha4s/full/full/0/default.jpg;200;2518;3000;3946;4701;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxd0dt9iha4s/full/1200,/0/default.jpg;200;1200;1430;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7453_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7453_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0003.jpg;True;f5baaab562c94034a0782643382e732c
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390733;1v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqh73y0pirdz/full/full/0/default.jpg;200;2542;3000;3892;4593;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqh73y0pirdz/full/1200,/0/default.jpg;200;1200;1416;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7454_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7454_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0004.jpg;True;9836590872cbcfa1e32ab8d3540ca5e3
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390734;2r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcijurnqbbop/full/full/0/default.jpg;200;2511;3000;3910;4671;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcijurnqbbop/full/1200,/0/default.jpg;200;1200;1434;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7455_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7455_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0005.jpg;True;5f63a1ec206532b8771beeed1b14c390
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390735;2v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc1ilkzwpsn7/full/full/0/default.jpg;200;2490;3000;3892;4689;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc1ilkzwpsn7/full/1200,/0/default.jpg;200;1200;1446;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7456_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7456_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0006.jpg;True;7140bfb69880f1014fbb4d53a32cf864
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390736;3r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0r61gotto5c/full/full/0/default.jpg;200;2511;3000;3910;4671;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0r61gotto5c/full/1200,/0/default.jpg;200;1200;1434;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7457_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7457_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0007.jpg;True;17581bcb6bd6541cb142a23ce1a41aea
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390737;3v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8z4vqg7f5jh/full/full/0/default.jpg;200;2490;3000;3892;4689;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8z4vqg7f5jh/full/1200,/0/default.jpg;200;1200;1446;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7458_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7458_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0008.jpg;True;cc5c3c589db469e52164a86e830043cc
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390738;4r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo51n2rgpygg/full/full/0/default.jpg;200;2495;3000;3910;4701;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo51n2rgpygg/full/1200,/0/default.jpg;200;1200;1443;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7459_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7459_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0009.jpg;True;ac1b3da26030016a933b4248ce17bfcb
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390739;4v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4iwtbqhg3pg/full/full/0/default.jpg;200;2476;3000;3904;4731;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4iwtbqhg3pg/full/1200,/0/default.jpg;200;1200;1454;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7460_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7460_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0010.jpg;True;d2154a9d0048317f48401992cb22cbe6
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390740;5r;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7l6nsmtc3hh/full/full/0/default.jpg;200;2495;3000;3910;4701;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7l6nsmtc3hh/full/1200,/0/default.jpg;200;1200;1443;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7461_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7461_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0011.jpg;True;a2c275c0b5a544e3a255d28e9c9e5460
https://api.irht.cnrs.fr/ark:/63955/f1ruw5rqihr9/manifest.json;https://arca.irht.cnrs.fr/iiif/128415/canvas/canvas-4390741;5v;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v45jvm9u2pzl/full/full/0/default.jpg;200;2502;3000;3946;4731;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v45jvm9u2pzl/full/1200,/0/default.jpg;200;1200;1439;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7462_A/full/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ113/DEPOT/FRAN_0021_7462_A/full/1200,/0/default.jpg;Paris_Archives_Nationales_JJ113_0012.jpg;True;eb6ebcc4cf17f1b8a58e4d09e485f00b
