manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290330,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7xa53s0mymd/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,garde supérieure,4257,4215,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_1.jpg,4257,4215,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7xa53s0mymd/full/,1200/0/default.jpg",200,1212,1200
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290331,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqq1lebcoo3i/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,contre garde supérieure,4257,4209,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_2.jpg,4257,4209,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqq1lebcoo3i/full/,1200/0/default.jpg",200,1214,1200
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290332,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,1r,3801,4503,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_3.jpg,3801,4503,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/1200,/0/default.jpg",200,1200,1422
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290333,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,1v,3729,4212,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_4.jpg,3729,4212,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg",200,1200,1355
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290334,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,2r,3702,4503,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_5.jpg,3702,4503,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/1200,/0/default.jpg",200,1200,1460
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290335,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,2v,3747,4275,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_6.jpg,3747,4275,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg",200,1200,1369
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290336,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,3r,3705,4503,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_7.jpg,3705,4503,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg",200,1200,1458
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290337,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,3v,3756,4299,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_8.jpg,3756,4299,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg",200,1200,1373
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290338,https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,4r,3552,4305,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_9.jpg,3552,4305,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/1200,/0/default.jpg",200,1200,1454
https://api.irht.cnrs.fr/ark:/63955/frpbm744s3r5/manifest.json,https://arca.irht.cnrs.fr/iiif/128501/canvas/canvas-4290339,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200,4v,3822,4266,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ200\Paris_Archives_Nationales_JJ200_10.jpg,3822,4266,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg",200,1200,1339
