"annotation_id","annotator","created_at","id","image","image_path","label","lead_time","ordre","registre","updated_at"
6124,"1","2026-05-21T14:27:07.520835Z",24561,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6e576jlpbid/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_2.jpg","[{""x"":0.305,""y"":0.02,""width"":99.53,""height"":99.94,""rotation"":0,""rectanglelabels"":[""NIA""],""original_width"":2048,""original_height"":2048}]","",2,"JJ096","2026-05-21T14:27:07.520835Z"
6125,"1","2026-05-21T14:27:07.520835Z",24562,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxyc3rg33kh4/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_3.jpg","[{""x"":0.0,""y"":0.005,""width"":99.86,""height"":97.69,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3984,""original_height"":6437}]","",3,"JJ096","2026-05-21T14:27:07.520835Z"
6126,"1","2026-05-21T14:27:07.520835Z",24563,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbg5uy3smlz0/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_4.jpg","[{""x"":0.0,""y"":1.895,""width"":100.0,""height"":95.77,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3768,""original_height"":6373}]","",4,"JJ096","2026-05-21T14:27:07.520835Z"
6127,"1","2026-05-21T14:27:07.520835Z",24564,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr66brwmaaj8/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_5.jpg","[{""x"":0.0,""y"":2.16,""width"":100.0,""height"":96.22,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3928,""original_height"":6453}]","",5,"JJ096","2026-05-21T14:27:07.520835Z"
6128,"1","2026-05-21T14:27:07.520835Z",24565,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnn03q4o88zo/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_6.jpg","[{""x"":3.925,""y"":1.895,""width"":96.01,""height"":96.93,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3824,""original_height"":6373}]","",6,"JJ096","2026-05-21T14:27:07.520835Z"
6129,"1","2026-05-21T14:27:07.520835Z",24566,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/veumhm82l9ts/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_7.jpg","[{""x"":0.005,""y"":0.905,""width"":99.87,""height"":98.09,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3888,""original_height"":6421}]","",7,"JJ096","2026-05-21T14:27:07.520835Z"
6130,"1","2026-05-21T14:27:07.520835Z",24567,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf5kcrvmb39y/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_8.jpg","[{""x"":0.0,""y"":1.89,""width"":99.92,""height"":97.5,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3856,""original_height"":6373}]","",8,"JJ096","2026-05-21T14:27:07.520835Z"
6131,"1","2026-05-21T14:27:07.520835Z",24568,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dp81xg1muv/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_9.jpg","[{""x"":0.0,""y"":0.555,""width"":99.88,""height"":98.25,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3888,""original_height"":6325}]","",9,"JJ096","2026-05-21T14:27:07.520835Z"
6132,"1","2026-05-21T14:27:07.520835Z",24569,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8bihe4q8x6d/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_10.jpg","[{""x"":0.03,""y"":0.36,""width"":99.86,""height"":98.16,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3872,""original_height"":6397}]","",10,"JJ096","2026-05-21T14:27:07.520835Z"
6133,"1","2026-05-21T14:27:07.520835Z",24570,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhj4c6ggfeks/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_11.jpg","[{""x"":0.0,""y"":0.51,""width"":100.0,""height"":98.38,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3888,""original_height"":6301}]","",11,"JJ096","2026-05-21T14:27:07.520835Z"
6134,"1","2026-05-21T14:27:07.520835Z",24571,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3su18wn3swf/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_12.jpg","[{""x"":0.305,""y"":0.02,""width"":99.53,""height"":99.94,""rotation"":0,""rectanglelabels"":[""NIA""],""original_width"":2048,""original_height"":2048}]","",12,"JJ096","2026-05-21T14:27:07.520835Z"
6135,"1","2026-05-21T14:27:07.520835Z",24572,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbetf51dcfuv/full/full/0/default.jpg","images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ096/Paris_Archives_Nationales_JJ096_13.jpg","[{""x"":0.005,""y"":1.36,""width"":96.93,""height"":97.78,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":4160,""original_height"":6437}]","",13,"JJ096","2026-05-21T14:27:07.520835Z"
