"annotation_id","annotator","created_at","folio_label","folio_sort_key","id","image","image_id","image_path","label","lead_time","register","updated_at","volume"
29133,"1","2026-06-03T14:42:20.711735Z","plat supérieur",1,29133,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw19viysezw0/full/1200,/0/default.jpg",1,"Paris_Archives_Nationales_JJ160_1.jpg","","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29134,"1","2026-06-03T14:42:20.711735Z","contre-plat supérieur",2,29134,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7f0j9hw5vfz/full/1200,/0/default.jpg",2,"Paris_Archives_Nationales_JJ160_2.jpg","",4.809,"JJ160","2026-06-05T08:41:44.459821Z","JJ160"
29135,"1","2026-06-03T14:42:20.711735Z","Ir",3,29135,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc88o33tqbqs/full/1200,/0/default.jpg",3,"Paris_Archives_Nationales_JJ160_3.jpg","[{""x"":0.13,""y"":3.93,""width"":98.2,""height"":95.18,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29136,"1","2026-06-03T14:42:20.711735Z","Iv",4,29136,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkmajepjbprq/full/1200,/0/default.jpg",4,"Paris_Archives_Nationales_JJ160_4.jpg","[{""x"":0.035,""y"":2.375,""width"":99.87,""height"":95.85,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1523}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29137,"1","2026-06-03T14:42:20.711735Z","IIr",5,29137,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpa06762m6ev/full/1200,/0/default.jpg",5,"Paris_Archives_Nationales_JJ160_5.jpg","[{""x"":0.17,""y"":3.965,""width"":89.28,""height"":93.85,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29138,"1","2026-06-03T14:42:20.711735Z","IIv",6,29138,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve3yhwotnge9/full/1200,/0/default.jpg",6,"Paris_Archives_Nationales_JJ160_6.jpg","[{""x"":0.0,""y"":2.22,""width"":99.88,""height"":96.16,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1523}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29139,"1","2026-06-03T14:42:20.711735Z","IIIr",7,29139,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrxnhgz67pwh/full/1200,/0/default.jpg",7,"Paris_Archives_Nationales_JJ160_7.jpg","[{""x"":0.195,""y"":3.975,""width"":88.29,""height"":94.03,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29140,"1","2026-06-03T14:42:20.711735Z","IIIv",8,29140,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq3px5b3j6hn/full/1200,/0/default.jpg",8,"Paris_Archives_Nationales_JJ160_8.jpg","[{""x"":5.66,""y"":1.89,""width"":94.34,""height"":96.06,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29141,"1","2026-06-03T14:42:20.711735Z","IVr",9,29141,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zjts6a7f24/full/1200,/0/default.jpg",9,"Paris_Archives_Nationales_JJ160_9.jpg","[{""x"":0.19,""y"":3.965,""width"":88.68,""height"":93.69,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29142,"1","2026-06-03T14:42:20.711735Z","IVv",10,29142,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/1200,/0/default.jpg",10,"Paris_Archives_Nationales_JJ160_10.jpg","[{""x"":6.76,""y"":2.525,""width"":93.24,""height"":95.75,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29143,"1","2026-06-03T14:42:20.711735Z","Vr",11,29143,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gvbjfi12n1/full/1200,/0/default.jpg",11,"Paris_Archives_Nationales_JJ160_11.jpg","[{""x"":0.185,""y"":3.925,""width"":88.15,""height"":93.97,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29144,"1","2026-06-03T14:42:20.711735Z","Vv",12,29144,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmhttr19u5ce/full/1200,/0/default.jpg",12,"Paris_Archives_Nationales_JJ160_12.jpg","[{""x"":5.4,""y"":2.59,""width"":94.58,""height"":94.8,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29145,"1","2026-06-03T14:42:20.711735Z","VIr",13,29145,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrf4k8rwrhw7/full/1200,/0/default.jpg",13,"Paris_Archives_Nationales_JJ160_13.jpg","[{""x"":0.165,""y"":3.795,""width"":91.17,""height"":93.85,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29146,"1","2026-06-03T14:42:20.711735Z","VIv",14,29146,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd8rsqtveuiv/full/1200,/0/default.jpg",14,"Paris_Archives_Nationales_JJ160_14.jpg","[{""x"":5.755,""y"":2.78,""width"":94.21,""height"":93.62,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29147,"1","2026-06-03T14:42:20.711735Z","VIIr",15,29147,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vobnpkivxwmc/full/1200,/0/default.jpg",15,"Paris_Archives_Nationales_JJ160_15.jpg","[{""x"":0.135,""y"":3.68,""width"":89.65,""height"":94.02,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29148,"1","2026-06-03T14:42:20.711735Z","VIIv",16,29148,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v07ls3c90km8/full/1200,/0/default.jpg",16,"Paris_Archives_Nationales_JJ160_16.jpg","[{""x"":4.43,""y"":2.725,""width"":95.46,""height"":94.65,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1502}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
29149,"1","2026-06-03T14:42:20.711735Z","VIIIr",17,29149,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbfz4beytan5/full/1200,/0/default.jpg",17,"Paris_Archives_Nationales_JJ160_17.jpg","[{""x"":0.18,""y"":3.8,""width"":87.46,""height"":93.88,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ160","2026-06-03T14:42:20.711735Z","JJ160"
