"annotation_id","annotator","created_at","folio_label","folio_sort_key","id","image","image_path","label","lead_time","register","updated_at","volume"
12563,"1","2026-06-19T11:23:57.460728Z","plat supérieur","1",12563,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vty1xt1ewzs7/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_1.jpg","","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12564,"1","2026-06-19T11:23:57.460728Z","contre-plat supérieur","2",12564,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/viah1rphuy4e/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_2.jpg","",2.84,"JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12565,"1","2026-06-19T11:23:57.460728Z","01r","3",12565,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vt388bzen28l/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_3.jpg","[{""x"":0.12,""y"":2.14,""width"":99.88,""height"":96.0,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1377}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12566,"1","2026-06-19T11:23:57.460728Z","01v","4",12566,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v36e4kb3djmn/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_4.jpg","[{""x"":0.1,""y"":0.305,""width"":99.9,""height"":99.67,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1460}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12567,"1","2026-06-19T11:23:57.460728Z","02r","5",12567,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0nfq5aoaohe/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_5.jpg","[{""x"":0.08,""y"":1.61,""width"":88.8,""height"":96.16,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1362}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12568,"1","2026-06-19T11:23:57.460728Z","02v","6",12568,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxqpx4dzdz2j/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_6.jpg","[{""x"":0.0,""y"":1.315,""width"":100.0,""height"":98.45,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1460}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12569,"1","2026-06-19T11:23:57.460728Z","03r","7",12569,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve74pah9x5ak/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_7.jpg","[{""x"":0.03,""y"":2.615,""width"":84.76,""height"":94.79,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1386}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12570,"1","2026-06-19T11:23:57.460728Z","03v","8",12570,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vl0qvo1j5fhv/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_8.jpg","[{""x"":0.485,""y"":2.185,""width"":99.51,""height"":97.11,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1460}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12571,"1","2026-06-19T11:23:57.460728Z","04r","9",12571,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5e0jdeifywn/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_9.jpg","[{""x"":0.155,""y"":2.115,""width"":96.39,""height"":95.31,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1368}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
12572,"1","2026-06-19T11:23:57.460728Z","04v","10",12572,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2mykvvq5gb5/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ170_10.jpg","[{""x"":0.38,""y"":2.695,""width"":99.62,""height"":96.69,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1460}]","","JJ170","2026-06-19T11:23:57.460728Z","JJ170"
