"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
5829,"1","2025-07-31T14:41:50.015646Z",14202,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgup4yps7t8z/full/1200,/0/default.jpg","",3.889,"2025-07-31T14:41:50.015646Z"
6290,"1","2025-08-04T14:11:46.654599Z",14203,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpr96k300i19/full/1200,/0/default.jpg","[{""x"":0,""y"":27.499999999999996,""width"":100,""height"":72.5,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1407},{""x"":0,""y"":1.319999999999999,""width"":100,""height"":26.14,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1407}]",10.748,"2025-08-04T14:11:46.654599Z"
14905,"1","2025-08-06T09:40:40.466654Z",14204,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7gxvci2yvjs/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.06500000000000394,""y"":1.5300000000000036,""width"":92.57,""height"":97.66,""rectanglelabels"":[""AC""],""original_width"":4256.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14906,"1","2025-08-06T09:40:40.466654Z",14205,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkb8bf2902zr/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.019999999999997797,""y"":2.7199999999999944,""width"":99.98,""height"":97.28,""rectanglelabels"":[""AI""],""original_width"":4119.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14907,"1","2025-08-06T09:40:40.466654Z",14206,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb5ce6dx7m4o/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.06500000000000394,""y"":0.7249999999999979,""width"":91.27,""height"":98.45,""rectanglelabels"":[""AF""],""original_width"":4256.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14908,"1","2025-08-06T09:40:40.466654Z",14207,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk0022zxmrix/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.0,""y"":68.23,""width"":100.0,""height"":31.66,""rectanglelabels"":[""AI""],""original_width"":4119.0,""original_height"":4829.0},{""rotation"":0,""x"":0.019999999999997797,""y"":1.0950000000000015,""width"":99.98,""height"":67.36999999999999,""rectanglelabels"":[""AC""],""original_width"":4119.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
5830,"1","2025-07-31T14:43:28.364212Z",14208,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0uc23d435f9/full/1200,/0/default.jpg","[{""x"":0.054999999999999494,""y"":0.9199999999999984,""width"":99.93,""height"":54.476626506024104,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1362},{""x"":0,""y"":55.50337349397589,""width"":99.27999999999999,""height"":42.6366265060241,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1362}]",12.958,"2025-07-31T14:43:28.364212Z"
14909,"1","2025-08-06T09:40:40.466654Z",14209,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/viufvsmixb2x/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.0,""y"":2.1150000000000055,""width"":100.0,""height"":97.89,""rectanglelabels"":[""AF""],""original_width"":4119.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14910,"1","2025-08-06T09:40:40.466654Z",14210,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb40b2n3lk3f/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.0,""y"":2.044999999999997,""width"":90.9,""height"":95.75,""rectanglelabels"":[""AI""],""original_width"":4256.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14911,"1","2025-08-06T09:40:40.466654Z",14211,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vx6iabmfrvxm/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.0,""y"":30.154999999999998,""width"":100.0,""height"":69.59,""rectanglelabels"":[""AI""],""original_width"":4119.0,""original_height"":4829.0},{""rotation"":0,""x"":0.0,""y"":0.6650000000000017,""width"":100.0,""height"":29.75,""rectanglelabels"":[""AF""],""original_width"":4119.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
14912,"1","2025-08-06T09:40:40.466654Z",14212,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vatexbb8d9ki/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.15000000000000013,""y"":0.31000000000000194,""width"":99.56,""height"":40.699999999999996,""rectanglelabels"":[""AF""],""original_width"":4256.0,""original_height"":4829.0},{""rotation"":0,""x"":0.06999999999999784,""y"":41.19,""width"":97.98,""height"":56.58,""rectanglelabels"":[""AI""],""original_width"":4256.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
6286,"1","2025-08-04T14:09:44.966693Z",14213,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0i068xbd57h/full/1200,/0/default.jpg","[{""x"":0,""y"":72.135,""width"":100,""height"":25.47,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1362},{""x"":0.025000000000002798,""y"":0.12000000000000344,""width"":99.21,""height"":72.22,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1362}]",4.969,"2025-08-04T14:09:44.966693Z"
14913,"1","2025-08-06T09:40:40.466654Z",14214,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vavlxy6i2lf9/full/1200,/0/default.jpg","[{""rotation"":0,""x"":0.0,""y"":52.33,""width"":100.0,""height"":47.44,""rectanglelabels"":[""AI""],""original_width"":4119.0,""original_height"":4829.0},{""rotation"":0,""x"":0.0,""y"":0.9749999999999981,""width"":100.0,""height"":51.370000000000005,""rectanglelabels"":[""AF""],""original_width"":4119.0,""original_height"":4829.0}]","","2025-08-06T09:40:40.466654Z"
