Image_Path;Image_Width;Image_Height;YOLO_Results_File;Class_Id;Class_Name;Detected_coordinates;Absolute_coordinates;Confidence;Url_Detection;Url_Image
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_10.jpg;3952;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_10.txt;5;Table;0.5338 0.504 0.9324 0.9575;267,124,3684,4736;0.992290198802948;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/267,124,3684,4736/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_100.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_100.txt;0;AC;0.5 0.333 1.0 0.6309;0,86,4090,3121;0.9492731094360352;https://iiif.irht.cnrs.fr/iiif/ark:/63955/viapii4j0oc3/0,86,4090,3121/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/viapii4j0oc3/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_100.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_100.txt;1;AI;0.4995 0.8235 0.9991 0.3487;0,3211,4086,1725;0.951447069644928;https://iiif.irht.cnrs.fr/iiif/ark:/63955/viapii4j0oc3/0,3211,4086,1725/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/viapii4j0oc3/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_101.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_101.txt;2;AF;0.4531 0.161 0.9063 0.2858;0,89,3945,1420;0.9142894744873048;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb7j4ysps0n3/0,89,3945,1420/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb7j4ysps0n3/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_101.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_101.txt;1;AI;0.4372 0.6435 0.8745 0.6803;0,1507,3806,3381;0.9336124658584596;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb7j4ysps0n3/0,1507,3806,3381/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vb7j4ysps0n3/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_102.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_102.txt;2;AF;0.5012 0.1855 0.9976 0.336;9,86,4080,1662;0.963996946811676;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyrggf0szgba/9,86,4080,1662/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyrggf0szgba/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_102.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_102.txt;1;AI;0.4996 0.6756 0.9993 0.6414;0,1755,4087,3173;0.9790703058242798;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyrggf0szgba/0,1755,4087,3173/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyrggf0szgba/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_103.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_103.txt;1;AI;0.4257 0.7879 0.8513 0.372;0,2992,3705,1849;0.9580228328704834;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ttadtypx9x/0,2992,3705,1849/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ttadtypx9x/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_103.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_103.txt;2;AF;0.4314 0.313 0.8628 0.5861;0,99,3755,2913;0.9561620950698853;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ttadtypx9x/0,99,3755,2913/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ttadtypx9x/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_104.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_104.txt;2;AF;0.5006 0.2712 0.9987 0.5114;5,76,4084,2529;0.9671042561531068;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgew93o9rr8j/5,76,4084,2529/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgew93o9rr8j/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_104.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_104.txt;1;AI;0.4995 0.7619 0.999 0.4709;0,2604,4085,2329;0.9730212688446044;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgew93o9rr8j/0,2604,4085,2329/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgew93o9rr8j/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_105.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_105.txt;3;AM;0.4399 0.5073 0.8798 0.9542;0,150,3829,4743;0.9767168760299684;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8oz8hyos8um/0,150,3829,4743/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8oz8hyos8um/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_106.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_106.txt;2;AF;0.5011 0.1787 0.9978 0.3325;8,61,4081,1644;0.9681273102760316;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v25zw3ptdm9s/8,61,4081,1644/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v25zw3ptdm9s/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_106.jpg;4090;4947;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_106.txt;1;AI;0.4995 0.6696 0.999 0.6513;0,1701,4085,3221;0.9550589919090272;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v25zw3ptdm9s/0,1701,4085,3221/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v25zw3ptdm9s/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ160/Paris_Archives_Nationales_JJ160_107.jpg;4353;4971;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ160-JJ169/Paris_Archives_Nationales_JJ160/labels/Paris_Archives_Nationales_JJ160_107.txt;0;AC;0.4452 0.6338 0.8904 0.6906;0,1434,3875,3432;0.9746317863464355;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vijw7soy176p/0,1434,3875,3432/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vijw7soy176p/full/full/0/default.jpg
