Image_Path;Image_Width;Image_Height;YOLO_Results_File;Class_Id;Class_Name;Detected_coordinates;Absolute_coordinates;Confidence;Url_Detection;Url_Image
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_10.jpg;4047;4820;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_10.txt;5;Table;0.5075 0.4878 0.9849 0.9727;60,6,3985,4688;0.990342617034912;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v441sfcsjjdt/60,6,3985,4688/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v441sfcsjjdt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_100.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_100.txt;0;AC;0.5464 0.3136 0.9064 0.5884;388,94,3775,2851;0.9394614100456238;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0jxdari0e/388,94,3775,2851/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0jxdari0e/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_100.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_100.txt;1;AI;0.5319 0.8036 0.9361 0.3897;265,2950,3898,1888;0.9632304310798644;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0jxdari0e/265,2950,3898,1888/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqz0jxdari0e/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_101.jpg;4292;4865;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_101.txt;3;AM;0.4827 0.5091 0.9655 0.9611;0,138,4143,4675;0.950244665145874;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5m0u3abvi6j/0,138,4143,4675/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5m0u3abvi6j/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_102.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_102.txt;3;AM;0.5559 0.5115 0.8882 0.9741;465,118,3699,4721;0.978559136390686;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0kabzjd4v43/465,118,3699,4721/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0kabzjd4v43/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_103.jpg;4292;4865;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_103.txt;3;AM;0.4522 0.5089 0.9044 0.9663;0,125,3881,4701;0.9774116277694702;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvn19ysry6xk/0,125,3881,4701/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvn19ysry6xk/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_104.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_104.txt;2;AF;0.5024 0.1115 0.995 0.2132;20,23,4144,1033;0.8950355648994446;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7roh2jz92zt/20,23,4144,1033/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7roh2jz92zt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_104.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_104.txt;1;AI;0.5007 0.6076 0.998 0.7782;7,1059,4156,3771;0.9515530467033386;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7roh2jz92zt/7,1059,4156,3771/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7roh2jz92zt/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_105.jpg;4292;4865;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_105.txt;3;AM;0.456 0.5114 0.912 0.9645;0,141,3914,4692;0.976405143737793;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdbtwpyru1nh/0,141,3914,4692/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdbtwpyru1nh/full/full/0/default.jpg
images_registres_AN_JJ035_JJ211/images/Paris_Archives_Nationales_JJ140/Paris_Archives_Nationales_JJ140_106.jpg;4165;4847;/sps/humanum/home/dstutzmann/act_segm_model_training/runs/predict/Himanis_Seg_Actes_1200pxmin_JJ140-JJ159/Paris_Archives_Nationales_JJ140/labels/Paris_Archives_Nationales_JJ140_106.txt;2;AF;0.5007 0.5119 0.9976 0.9725;7,124,4155,4713;0.9531481266021729;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2wfvoe2lz9d/7,124,4155,4713/full/0/default.jpg;https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2wfvoe2lz9d/full/full/0/default.jpg
