"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
6304,"1","2025-08-05T08:29:19.809891Z",8580,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/va820k64u3ni/full/1200,/0/default.jpg","[{""x"":0.050000000000000044,""y"":0.10999999999999899,""width"":99.82,""height"":99.82,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1582}]",2.847,"2025-08-05T08:29:19.809891Z"
3694,"1","2025-07-21T08:42:43.695620Z",8581,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vygihlz9zh8v/full/1200,/0/default.jpg","[{""x"":0,""y"":8.774698795180722,""width"":100.00000000000003,""height"":59.74530120481929,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1639},{""x"":0,""y"":68.88499999999999,""width"":99.88,""height"":30.630000000000003,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1639}]",6.861,"2025-07-21T08:42:43.695620Z"
6305,"1","2025-08-05T08:29:28.306680Z",8582,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8f2fi5u2o4f/full/1200,/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.050000000000000044,""width"":99.83,""height"":56.06,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1585},{""x"":0,""y"":55.99999999999999,""width"":99.88,""height"":43.94,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1585}]",2.873,"2025-08-05T08:29:28.306680Z"
3695,"1","2025-07-21T08:42:59.758574Z",8583,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9wptm3c4bal/full/1200,/0/default.jpg","[{""x"":0,""y"":66.87192771084338,""width"":99.86000000000004,""height"":33.1280722891566,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1639},{""x"":0.004999999999999449,""y"":0.014999999999998348,""width"":99.81,""height"":66.89,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1639}]",4.522,"2025-07-21T08:42:59.758574Z"
6306,"1","2025-08-05T08:29:38.418822Z",8584,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtr6t05a91jp/full/1200,/0/default.jpg","[{""x"":-0.004999999999999449,""y"":56.625,""width"":99.97,""height"":43.35,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1606},{""x"":0.009999999999998899,""y"":0.004999999999999449,""width"":99.9,""height"":56.87,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1606}]",1.437,"2025-08-05T08:29:38.418822Z"
6307,"1","2025-08-05T08:29:43.492100Z",8585,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y79tayyp7u/full/1200,/0/default.jpg","[{""x"":-0.004999999999999449,""y"":0.11999999999999789,""width"":99.81,""height"":99.8,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1639}]",3.856,"2025-08-05T08:29:43.492100Z"
6308,"1","2025-08-05T08:29:46.917267Z",8586,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve1hhdmtn7mf/full/1200,/0/default.jpg","[{""x"":-0.004999999999999449,""y"":43.905,""width"":99.97,""height"":55.910000000000004,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1606},{""x"":-0.004999999999999449,""y"":0.03499999999999892,""width"":99.91,""height"":43.99,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1606}]",2.515,"2025-08-05T08:29:46.917267Z"
6309,"1","2025-08-05T08:29:50.586619Z",8587,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdggjrqkafp9/full/1200,/0/default.jpg","[{""x"":0,""y"":0.03499999999999892,""width"":99.82,""height"":28.610000000000003,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1639},{""x"":0.004999999999999449,""y"":28.54,""width"":99.81,""height"":71.36,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1639}]",2.349,"2025-08-05T08:29:50.586619Z"
6310,"1","2025-08-05T08:29:54.333168Z",8588,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vny3xw1m3w15/full/1200,/0/default.jpg","[{""x"":0,""y"":57.709999999999994,""width"":99.96000000000001,""height"":42.28,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1606},{""x"":0.02000000000000335,""y"":0.06999999999999784,""width"":99.92,""height"":57.84,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1606}]",2.329,"2025-08-05T08:29:54.333168Z"
6311,"1","2025-08-05T08:29:57.714277Z",8589,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdiizb66ylke/full/1200,/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.22499999999999742,""width"":99.79,""height"":99.77000000000001,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1639}]",2.293,"2025-08-05T08:29:57.714277Z"
