manifestURL,canvasId,urlImage,folderPath,imageLabel,imageWidthAsDeclared,imageHeightAsDeclared,htmlCode,imageFileName,imageWidthAsDownloaded,imageHeightAsDownloaded,urlResizedImage,ResizedImagehtmlCode,ResizedImageWidthAsDownloaded,ResizedImageHeightAsDownloaded
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281843,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi094194smoo/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,plat supérieur,4583,4602,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_1.jpg,4583,4602,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vi094194smoo/full/1200,/0/default.jpg",200,1200,1205
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281844,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v999lwxqudtd/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,contreplat supérieur,4374,4674,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_2.jpg,4374,4674,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v999lwxqudtd/full/1200,/0/default.jpg",200,1200,1282
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281845,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv9pwb71zljz/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,Ir,3871,4526,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_3.jpg,3871,4526,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv9pwb71zljz/full/1200,/0/default.jpg",200,1200,1403
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281846,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vun14stqhizr/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,Iv,3671,4697,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_4.jpg,3671,4697,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vun14stqhizr/full/1200,/0/default.jpg",200,1200,1535
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281847,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsknpah34vye/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,IIr,3821,4626,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_5.jpg,3821,4626,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsknpah34vye/full/1200,/0/default.jpg",200,1200,1453
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281848,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkvpswodgo83/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,IIv,4465,4674,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_6.jpg,4465,4674,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkvpswodgo83/full/1200,/0/default.jpg",200,1200,1256
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281849,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,1r,4583,4602,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_7.jpg,4583,4602,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg",200,1200,1205
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281850,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,1v,4465,4674,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_8.jpg,4465,4674,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/1200,/0/default.jpg",200,1200,1256
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281851,https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,2r,4583,4602,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_9.jpg,4583,4602,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/1200,/0/default.jpg",200,1200,1205
https://api.irht.cnrs.fr/ark:/63955/ftbfmou3j3h8/manifest.json,https://arca.irht.cnrs.fr/iiif/128482/canvas/canvas-4281852,https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/full/0/default.jpg,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180,2v,4465,4674,200,images_registres_AN_JJ035_JJ211/images\Paris_Archives_Nationales_JJ180\Paris_Archives_Nationales_JJ180_10.jpg,4465,4674,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg",200,1200,1256
