id_temp,register,act_number,action,anchor_zone_temp_id,zone_temp_id,note,
1386,JJ98,288,set_start_zone,,1994,"Acte n°288, seule zone conservée (AI) ;  la suite n'est pas reproduite dans le corpus",
1390,JJ98,292,set_start_zone,,1995,"AF rattachée à tort à l'acte 288 (1386) par le regroupement automatique, dont le début n’est pas reproduit.", appartient en réalité à la fin de l'acte 292
9399,JJ116,4,set_start_zone,,15295,AF après NIA,
10583,JJ119,149,set_start_zone,,17572,AF après NIA,
11860,JJ122,245,set_start_zone,,19906,AF après NIA,
11879,JJ122,264,set_start_zone,,19934,AF après NIA,
15516,JJ135,9,set_start_zone,,26519,AF après NIA,
20544,JJ149,118,set_start_zone,,35499,AF après NIA,
24055,JJ156,303,set_start_zone,,41901,AF après NIA,
25647,JJ160,75,set_start_zone,,44843,AI après NIA,
25875,JJ160,302,set_start_zone,,45294,AF après NIA,
26204,JJ161,167,set_start_zone,,45919,AF après NIA,
26374,JJ161,337,add_zone,46254,46257,AF après NIA,
28420,JJ166,228,set_start_zone,,50236,,
29255,JJ168,107,set_start_zone,,51868,AF après NIA,
29950,JJ169,370,set_start_zone,,53263,AF après NIA,
31363,JJ172,385,set_start_zone,,56128,AF après NIA,
