zone_id	image_id	volume	register	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
1		JJ140		3			5	Table	0	0	1200	1364	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vemm8quvqce8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vemm8quvqce8/full/1200,/0/default.jpg	1200	1379
2		JJ140		4			5	Table	233	1	966	1424	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp94n8gjozxc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp94n8gjozxc/full/1200,/0/default.jpg	1200	1459
3		JJ140		5			5	Table	0	1	1200	1351	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsvk5gcidox0/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsvk5gcidox0/full/1200,/0/default.jpg	1200	1367
4		JJ140		6			5	Table	6	1	1193	1420	https://iiif.irht.cnrs.fr/iiif/ark:/63955/va6q51higp7q/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/va6q51higp7q/full/1200,/0/default.jpg	1200	1459
5		JJ140		7			5	Table	0	0	1200	1341	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuuybenbb046/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuuybenbb046/full/1200,/0/default.jpg	1200	1367
6		JJ140		8			5	Table	15	1	1184	1421	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk9nxs0mq0ww/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk9nxs0mq0ww/full/1200,/0/default.jpg	1200	1459
7		JJ140		9			5	Table	0	1	1200	1343	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq2y8kexs5sm/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq2y8kexs5sm/full/1200,/0/default.jpg	1200	1367
8		JJ140		10			5	Table	18	2	1182	1391	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v441sfcsjjdt/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v441sfcsjjdt/full/1200,/0/default.jpg	1200	1430
9		JJ140		11			0	AC	1	5	1172	897	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6am7wc8t8zw/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6am7wc8t8zw/full/1200,/0/default.jpg	1200	1374
10		JJ140		11			1	AI	1	901	1199	447	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6am7wc8t8zw/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6am7wc8t8zw/full/1200,/0/default.jpg	1200	1374
11		JJ140		12			2	AF	20	3	1179	885	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v67gl59rxwv1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v67gl59rxwv1/full/1200,/0/default.jpg	1200	1445
12		JJ140		12			1	AI	17	887	1182	533	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v67gl59rxwv1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v67gl59rxwv1/full/1200,/0/default.jpg	1200	1445
13		JJ140		13			3	AM	1	4	1194	1355	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnhag1ttv04/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnhag1ttv04/full/1200,/0/default.jpg	1200	1374
14		JJ140		14			2	AF	22	9	1176	382	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh81ugu3fram/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh81ugu3fram/full/1200,/0/default.jpg	1200	1445
15		JJ140		14			0	AC	21	389	1178	1046	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh81ugu3fram/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vh81ugu3fram/full/1200,/0/default.jpg	1200	1445
