zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	x_pct	y_pct	w_pct	h_pct	url_image_full	image_filename	image_width_px	image_height_px
1	3	JJ180	3	Ir	ir	5	Table	1	0	1198	1402	0.08	-0.005	99.82	99.95	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv9pwb71zljz/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv9pwb71zljz/full/1200,/0/default.jpg	1200	1403
2	4	JJ180	4	Iv	iv	5	Table	0	1	1198	1533	0.03	0.075	99.86	99.85	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vun14stqhizr/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vun14stqhizr/full/1200,/0/default.jpg	1200	1535
3	5	JJ180	5	IIr	iir	5	Table	0	1	1199	1451	-0.005	0.1	99.91	99.84	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsknpah34vye/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsknpah34vye/full/1200,/0/default.jpg	1200	1453
4	7	JJ180	7	1r	1r	0	AC	3	7	1185	568	0.245	0.555	98.71	47.17	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	1200	1205
5	7	JJ180	7	1r	1r	0	AC	4	574	1106	437	0.325	47.65	92.19	36.26	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	1200	1205
6	7	JJ180	7	1r	1r	1	AI	4	1012	1196	179	0.335	84.015	99.63	14.85	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqcwk3d224un/full/1200,/0/default.jpg	1200	1205
7	8	JJ180	8	1v	1v	2	AF	6	11	1193	732	0.475	0.885	99.43	58.27	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/1200,/0/default.jpg	1200	1256
8	8	JJ180	8	1v	1v	1	AI	26	742	1173	480	2.17	59.055	97.72	38.19	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsky9o25mgqi/full/1200,/0/default.jpg	1200	1256
9	9	JJ180	9	2r	2r	2	AF	16	4	1157	727	1.305	0.315	96.39	60.35	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/1200,/0/default.jpg	1200	1205
10	9	JJ180	9	2r	2r	1	AI	13	731	1152	460	1.1	60.63	96.0	38.2	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6ievwuj4yah/full/1200,/0/default.jpg	1200	1205
11	10	JJ180	10	2v	2v	2	AF	3	17	1196	191	0.235	1.345	99.63	15.23	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	1200	1256
12	10	JJ180	10	2v	2v	0	AC	4	207	1195	570	0.325	16.52	99.59	45.42	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	1200	1256
13	10	JJ180	10	2v	2v	1	AI	18	774	1181	459	1.47	61.625	98.42	36.53	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvuk8xmdra6c/full/1200,/0/default.jpg	1200	1256
