zone_id	image_id	register	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
1	2	JJ200	JJ200	2	contre garde supérieure	contre garde supérieure	2	AF	0	0	4062	4209	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqq1lebcoo3i/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_2.jpg	4257	4209
2	3	JJ200	JJ200	3	1r	1r	3	AM	18	8	3782	4494	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_3.jpg	3801	4503
3	4	JJ200	JJ200	4	1v	1v	2	AF	3	0	3718	1561	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_4.jpg	3729	4212
4	4	JJ200	JJ200	4	1v	1v	1	AI	0	1561	3723	2630	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_4.jpg	3729	4212
5	5	JJ200	JJ200	5	2r	2r	2	AF	6	3	3694	4497	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_5.jpg	3702	4503
6	6	JJ200	JJ200	6	2v	2v	2	AF	5	2	3741	4145	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_6.jpg	3747	4275
7	6	JJ200	JJ200	6	2v	2v	3	AM	8	5	3738	3476	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_6.jpg	3747	4275
8	6	JJ200	JJ200	6	2v	2v	1	AI	0	3477	3747	793	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_6.jpg	3747	4275
9	7	JJ200	JJ200	7	3r	3r	2	AF	0	1	3697	2202	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_7.jpg	3705	4503
10	7	JJ200	JJ200	7	3r	3r	1	AI	0	2203	3698	2297	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_7.jpg	3705	4503
11	8	JJ200	JJ200	8	3v	3v	2	AF	8	0	3742	3416	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_8.jpg	3756	4299
12	8	JJ200	JJ200	8	3v	3v	1	AI	3	3375	3747	923	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_8.jpg	3756	4299
13	9	JJ200	JJ200	9	4r	4r	3	AM	6	0	3543	4293	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_9.jpg	3552	4305
14	10	JJ200	JJ200	10	4v	4v	2	AF	25	0	3796	592	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_10.jpg	3822	4266
15	10	JJ200	JJ200	10	4v	4v	1	AI	50	589	3771	3675	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_10.jpg	3822	4266
16	11	JJ200	JJ200	11	5r	5r	2	AF	9	0	3592	1356	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_11.jpg	3603	4503
17	11	JJ200	JJ200	11	5r	5r	1	AI	4	1347	3597	3147	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_11.jpg	3603	4503
18	12	JJ200	JJ200	12	5v	5v	3	AM	18	8	3797	4542	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3vxqasg0adj/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_12.jpg	3816	4560
19	13	JJ200	JJ200	13	6r	6r	2	AF	2	0	3600	4497	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr7q9gji18gh/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_13.jpg	3603	4503
20	14	JJ200	JJ200	14	6v	6v	2	AF	12	0	3789	4567	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp9uiq0yk92g/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_14.jpg	3804	4575
21	15	JJ200	JJ200	15	7r	7r	1	AI	32	0	4206	4203	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7tr0asanb2v/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_15.jpg	4452	4203
22	16	JJ200	JJ200	16	7v	7v	2	AF	34	2	4326	688	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_16.jpg	4365	4158
23	16	JJ200	JJ200	16	7v	7v	1	AI	22	688	4342	3469	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_16.jpg	4365	4158
24	17	JJ200	JJ200	17	8r	8r	2	AF	50	5	4401	4197	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vo2bp1vz4c6x/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_17.jpg	4452	4203
25	18	JJ200	JJ200	18	8v	8v	0	AC	0	0	4463	1931	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v367vhv6jq8w/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_18.jpg	4464	4221
26	18	JJ200	JJ200	18	8v	8v	0	AC	0	1920	4462	2292	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v367vhv6jq8w/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_18.jpg	4464	4221
27	19	JJ200	JJ200	19	9r	9r	0	AC	1	2	3832	2722	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v2tqfo197mya/full/full/0/default.jpg	Paris_Archives_Nationales_JJ200_19.jpg	3840	4245
