zone_temp_id;temporary_JJ96-211;register;act_number;warning
12;0;JJ096;1;
13;0;JJ096;1;
14;0;JJ096;1;
15;1;JJ096;2;
16;1;JJ096;2;
17;1;JJ096;2;
18;1;JJ096;2;
19;1;JJ096;2;
20;1;JJ096;2;
21;1;JJ096;2;
22;2;JJ096;3;
23;2;JJ096;3;
24;2;JJ096;3;
25;2;JJ096;3;
26;2;JJ096;3;
27;2;JJ096;3;
28;3;JJ096;4;
29;3;JJ096;4;
30;3;JJ096;4;
31;3;JJ096;4;
32;3;JJ096;4;
33;3;JJ096;4;
34;3;JJ096;4;
35;52;JJ096;53;
36;53;JJ096;54;
37;54;JJ096;55;
38;54;JJ096;55;
39;54;JJ096;55;
40;55;JJ096;56;
41;56;JJ096;57;
42;57;JJ096;58;
43;57;JJ096;58;
44;58;JJ096;59;
45;59;JJ096;60;
46;59;JJ096;60;
47;60;JJ096;61;
48;60;JJ096;61;
49;60;JJ096;61;
50;60;JJ096;61;
51;61;JJ096;62;
52;62;JJ096;63;
53;63;JJ096;64;
54;63;JJ096;64;
55;64;JJ096;65;
56;65;JJ096;66;
57;65;JJ096;66;
58;65;JJ096;66;
59;66;JJ096;67;
60;66;JJ096;67;
61;67;JJ096;68;
62;67;JJ096;68;
63;68;JJ096;69;
64;68;JJ096;69;
65;69;JJ096;70;
66;70;JJ096;71;
67;71;JJ096;72;
68;72;JJ096;73;
69;73;JJ096;74;
70;73;JJ096;74;
71;74;JJ096;75;
72;74;JJ096;75;
73;74;JJ096;75;
74;74;JJ096;75;
75;75;JJ096;76;
76;76;JJ096;77;
77;76;JJ096;77;
78;77;JJ096;78;
79;78;JJ096;79;
80;79;JJ096;80;
81;80;JJ096;81;
82;81;JJ096;82;
83;82;JJ096;83;
84;82;JJ096;83;
85;83;JJ096;84;
86;84;JJ096;85;
87;85;JJ096;86;
88;86;JJ096;87;
89;87;JJ096;88;
90;87;JJ096;88;
91;88;JJ096;89;
92;88;JJ096;89;
93;88;JJ096;89;
94;89;JJ096;90;
95;90;JJ096;91;
96;90;JJ096;91;
97;91;JJ096;92;
98;91;JJ096;92;
99;92;JJ096;93;
100;93;JJ096;94;
101;93;JJ096;94;
102;93;JJ096;94;
103;93;JJ096;94;
104;94;JJ096;95;
105;95;JJ096;96;
106;96;JJ096;97;
107;97;JJ096;98;
108;97;JJ096;98;
109;98;JJ096;99;
110;98;JJ096;99;
111;99;JJ096;100;
112;100;JJ096;101;
113;100;JJ096;101;
114;101;JJ096;102;
115;101;JJ096;102;
116;102;JJ096;103;
117;103;JJ096;104;
118;103;JJ096;104;
119;104;JJ096;105;
120;104;JJ096;105;
121;105;JJ096;106;
122;105;JJ096;106;
123;106;JJ096;107;
124;107;JJ096;108;
125;107;JJ096;108;
126;108;JJ096;109;
127;109;JJ096;110;
128;110;JJ096;111;
129;110;JJ096;111;
130;111;JJ096;112;
131;111;JJ096;112;
132;112;JJ096;113;
133;113;JJ096;114;
134;113;JJ096;114;
135;114;JJ096;115;
136;115;JJ096;116;
137;116;JJ096;117;
138;116;JJ096;117;
140;117;JJ096;118;
141;118;JJ096;119;
142;119;JJ096;120;
143;120;JJ096;121;
144;121;JJ096;122;
145;122;JJ096;123;
146;123;JJ096;124;
147;124;JJ096;125;
148;125;JJ096;126;
149;125;JJ096;126;
150;126;JJ096;127;
151;127;JJ096;128;
152;127;JJ096;128;
153;128;JJ096;129;
154;129;JJ096;130;
155;129;JJ096;130;
156;130;JJ096;131;
157;131;JJ096;132;
158;131;JJ096;132;
159;132;JJ096;133;
160;132;JJ096;133;
161;133;JJ096;134;
162;134;JJ096;135;
163;134;JJ096;135;
164;135;JJ096;136;
165;135;JJ096;136;
166;135;JJ096;136;
167;136;JJ096;137;
168;136;JJ096;137;
169;137;JJ096;138;
170;138;JJ096;139;
171;138;JJ096;139;
172;139;JJ096;140;
173;139;JJ096;140;
174;139;JJ096;140;
175;140;JJ096;141;
176;141;JJ096;142;
177;141;JJ096;142;
178;142;JJ096;143;
179;143;JJ096;144;
180;144;JJ096;145;
181;144;JJ096;145;
182;145;JJ096;146;
183;145;JJ096;146;
184;146;JJ096;147;
185;147;JJ096;148;
186;147;JJ096;148;
187;148;JJ096;149;
188;149;JJ096;150;
189;150;JJ096;151;
190;151;JJ096;152;
191;152;JJ096;153;
192;153;JJ096;154;
193;154;JJ096;155;
194;155;JJ096;156;
195;156;JJ096;157;
196;157;JJ096;158;
197;158;JJ096;159;
198;158;JJ096;159;
199;159;JJ096;160;
200;160;JJ096;161;
201;160;JJ096;161;
202;161;JJ096;162;
203;162;JJ096;163;
204;163;JJ096;164;
205;164;JJ096;165;
206;165;JJ096;166;
207;166;JJ096;167;
208;167;JJ096;168;
209;168;JJ096;169;
210;168;JJ096;169;
211;169;JJ096;170;
212;170;JJ096;171;
213;170;JJ096;171;
214;171;JJ096;172;
215;172;JJ096;173;
216;172;JJ096;173;
217;173;JJ096;174;
218;173;JJ096;174;
219;174;JJ096;175;
220;175;JJ096;176;
221;175;JJ096;176;
222;176;JJ096;177;
223;177;JJ096;178;
224;177;JJ096;178;
225;178;JJ096;179;
226;179;JJ096;180;
227;179;JJ096;180;
228;180;JJ096;181;
229;181;JJ096;182;
230;181;JJ096;182;
231;182;JJ096;183;
232;182;JJ096;183;
233;183;JJ096;184;
234;184;JJ096;185;
235;184;JJ096;185;
236;185;JJ096;186;
237;186;JJ096;187;
238;187;JJ096;188;
239;187;JJ096;188;
240;188;JJ096;189;
241;188;JJ096;189;
242;189;JJ096;190;
243;190;JJ096;191;
244;190;JJ096;191;
245;191;JJ096;192;
246;192;JJ096;193;
247;193;JJ096;194;
248;194;JJ096;195;
249;194;JJ096;195;
250;195;JJ096;196;
251;196;JJ096;197;
252;196;JJ096;197;
