zone_temp_id;temporary_JJ96-211;register;act_number;warning
51641;29146;JJ168;1;FOLIO vide ou non reconnu dans Acts CSV
51642;29146;JJ168;1;FOLIO vide ou non reconnu dans Acts CSV
51643;29147;JJ168;2;FOLIO vide ou non reconnu dans Acts CSV
51644;29148;JJ168;3;FOLIO vide ou non reconnu dans Acts CSV
51645;29148;JJ168;3;FOLIO vide ou non reconnu dans Acts CSV
51646;29149;JJ168;4;FOLIO vide ou non reconnu dans Acts CSV
51647;29149;JJ168;4;FOLIO vide ou non reconnu dans Acts CSV
51648;29149;JJ168;4;FOLIO vide ou non reconnu dans Acts CSV
51649;29150;JJ168;5;
51650;29150;JJ168;5;
51651;29151;JJ168;6;FOLIO vide ou non reconnu dans Acts CSV
51652;29151;JJ168;6;FOLIO vide ou non reconnu dans Acts CSV
51653;29152;JJ168;7;FOLIO vide ou non reconnu dans Acts CSV
51654;29152;JJ168;7;FOLIO vide ou non reconnu dans Acts CSV
51655;29152;JJ168;7;FOLIO vide ou non reconnu dans Acts CSV
51656;29152;JJ168;7;FOLIO vide ou non reconnu dans Acts CSV
51657;29153;JJ168;8;FOLIO vide ou non reconnu dans Acts CSV
51658;29153;JJ168;8;FOLIO vide ou non reconnu dans Acts CSV
51659;29154;JJ168;9;FOLIO vide ou non reconnu dans Acts CSV
51660;29154;JJ168;9;FOLIO vide ou non reconnu dans Acts CSV
51661;29155;JJ168;10;FOLIO vide ou non reconnu dans Acts CSV
51662;29155;JJ168;10;FOLIO vide ou non reconnu dans Acts CSV
51663;29156;JJ168;11;FOLIO vide ou non reconnu dans Acts CSV
51664;29156;JJ168;11;FOLIO vide ou non reconnu dans Acts CSV
51665;29157;JJ168;12;FOLIO vide ou non reconnu dans Acts CSV
51666;29157;JJ168;12;FOLIO vide ou non reconnu dans Acts CSV
51667;29158;JJ168;13;FOLIO vide ou non reconnu dans Acts CSV
51668;29158;JJ168;13;FOLIO vide ou non reconnu dans Acts CSV
51669;29159;JJ168;14;FOLIO vide ou non reconnu dans Acts CSV
51670;29159;JJ168;14;FOLIO vide ou non reconnu dans Acts CSV
51671;29159;JJ168;14;FOLIO vide ou non reconnu dans Acts CSV
51672;29160;JJ168;14bis;FOLIO vide ou non reconnu dans Acts CSV
51673;29161;JJ168;15;FOLIO vide ou non reconnu dans Acts CSV
51674;29161;JJ168;15;FOLIO vide ou non reconnu dans Acts CSV
51675;29162;JJ168;16;FOLIO vide ou non reconnu dans Acts CSV
51676;29162;JJ168;16;FOLIO vide ou non reconnu dans Acts CSV
51677;29162;JJ168;16;FOLIO vide ou non reconnu dans Acts CSV
51678;29163;JJ168;17;
51679;29163;JJ168;17;
51680;29164;JJ168;18;FOLIO vide ou non reconnu dans Acts CSV
51681;29164;JJ168;18;FOLIO vide ou non reconnu dans Acts CSV
51682;29165;JJ168;19;
51683;29165;JJ168;19;
51684;29166;JJ168;20;FOLIO vide ou non reconnu dans Acts CSV
51685;29166;JJ168;20;FOLIO vide ou non reconnu dans Acts CSV
51686;29167;JJ168;21;FOLIO vide ou non reconnu dans Acts CSV
51687;29167;JJ168;21;FOLIO vide ou non reconnu dans Acts CSV
51688;29168;JJ168;22;
51689;29168;JJ168;22;
51690;29169;JJ168;23;FOLIO vide ou non reconnu dans Acts CSV
51691;29169;JJ168;23;FOLIO vide ou non reconnu dans Acts CSV
51692;29170;JJ168;24;
51693;29170;JJ168;24;
51694;29170;JJ168;24;
51695;29170;JJ168;24;
51696;29170;JJ168;24;
51697;29170;JJ168;24;
51698;29170;JJ168;24;
51699;29171;JJ168;25;FOLIO vide ou non reconnu dans Acts CSV
51700;29171;JJ168;25;FOLIO vide ou non reconnu dans Acts CSV
51701;29172;JJ168;26;FOLIO vide ou non reconnu dans Acts CSV
51702;29172;JJ168;26;FOLIO vide ou non reconnu dans Acts CSV
51703;29174;JJ168;28;FOLIO vide ou non reconnu dans Acts CSV
51704;29174;JJ168;28;FOLIO vide ou non reconnu dans Acts CSV
51705;29175;JJ168;29;FOLIO vide ou non reconnu dans Acts CSV
51706;29175;JJ168;29;FOLIO vide ou non reconnu dans Acts CSV
51707;29175;JJ168;29;FOLIO vide ou non reconnu dans Acts CSV
51708;29176;JJ168;30;FOLIO vide ou non reconnu dans Acts CSV
51709;29176;JJ168;30;FOLIO vide ou non reconnu dans Acts CSV
