File;Register;Act_number;Head
Guerin_tome1-tome12;JJ35;138bis;IV
Guerin_tome1-tome12;JJ37;39bis;IX
Guerin_tome1-tome12;JJ81;145bis;CCCLXXV
Guerin_tome1-tome12;JJ81;288bis;CCCLXXVIII
Guerin_tome1-tome12;JJ159;82 bis;DCCCCV
Guerin_tome1-tome12;JJ184;603 bis;MLVIII
Guerin_tome1-tome12;JJ177;178bis;MLXXXIX
Guerin_tome1-tome12;JJ196;344 bis;MCCCCLXXXIX
Longnon;JJ174;46bis;CXXX
Paris_AN_JJ_inventaire_Gascogne;JJ65A;268bis;359
Paris_AN_JJ_inventaire_Gascogne;JJ65B;188bis;372
Paris_AN_JJ_inventaire_Gascogne;JJ68;22bis;460
Paris_AN_JJ_inventaire_Gascogne;JJ68;238bis;477
Paris_AN_JJ_inventaire_Gascogne;JJ74;26bis;637
Paris_AN_JJ_inventaire_Gascogne;JJ203;29bis;1452
Paris_AN_JJ_inventaire_Gascogne;JJ205;173bis;1474
Paris_AN_JJ_inventaire_Gascogne;JJ257-1;10bis;1901
Paris_AN_JJ_inventaire_Gascogne;JJ259;40bis;1922
Paris_AN_JJ_inventaire_Gascogne;JJ262;170bis;1997
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ34;5bis;5bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ34;47bis;47bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ34;51bis;51bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ38;29bis;29bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ46;191bis;191/bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ49;56bis;56bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ49;202bis;202/bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ53;221bis;221/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ53;275bis;275/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ56;180bis;180/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ65a;42bis;42bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ65a;221bis;221bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ65a;248bis;248bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ65b;188bis;188bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ65b;188ter;188ter
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ67;103bis;103bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ68;38bis;38/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ68;2892bis;289/2bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ72;211bis;211/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ72;508bis;508/bis/
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ74;26bis;26/bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ74;663bis;663bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ77;22bis;22bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ78;134bis;134/bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ78;258bis;258bis
Paris_AN_JJ_inventaire_IR421-JJA-JJ79A;JJ79A;28bis;28bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ80;183bis;183bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ80;188bis;188bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;127bis;127bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;145bis;145bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;195bis;195bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;288bis;288bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;316bis;316/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;415bis;415/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;428bis;428/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;453bis;453/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;480bis;480/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;539bis;539bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;599bis;599/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;861bis;861bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ81;861ter;861ter
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ82;90bis;90bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ82;275bis;275bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ83;28bis;28bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ84;535bis;535bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ85;37bis;37/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ86;496bis;496/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ86;604bis;604bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;53bis;53bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;109bis;109bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;144bis;144bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;202bis;202bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;292bis;292bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;312bis;312bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ87;331bis;331bis
