File;Register;Act_number;Head
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ104;202bis;202bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ104;356bis;356bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ105;20bis;20bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ105;425bis;425bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ112;352bis;352bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ113;26bis;26bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ113;363bis;363/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ114;155bis;155bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ114;226bis;226bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ114;303bis;303bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ117;100bis;100bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ117;127bis;127bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ117;215bis;215/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ117;41bis;41/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ117;7bis;7/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ118;135bis;135bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ118;9bis;9bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ119;120bis;120bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ119;283bis;283bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ119;88bis;88bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ120;152bis;152bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ121;117bis;117bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ121;128bis;128bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ121;18bis;18bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ122;121bis;121bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ122;59bis;59bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ122;61bis;61bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ122;82bis;82bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;106bis;106bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;157bis;157/bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;231bis;231bis
Paris_AN_JJ_inventaire_IR422-JJ80-155;JJ123;34bis;34bis
