Paris_AN_JJ_inventaire_JJ37-50.xml_Register;Paris_AN_JJ_inventaire_JJ37-50.xml_Act_number;Paris_AN_JJ_inventaire_JJ37-50.xml_Head;Paris_AN_JJ_inventaire_JJ37-50.xml_Locus;Paris_AN_JJ_inventaire_JJ37-50.xml_File
JJ37;1;1;1r-1v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;2;2;2r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;3;3;2r-2v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;4;4;2v-3;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;5;5;3r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;6;6;3v-4;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;7;7;4r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;8;8;4v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;9;9;4v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;10;10;4v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;11;11;4v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;12;12;5r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;13;13;5r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;14;14;5r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;15;15;5v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;16;16;5v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;17;17;6r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;18;18;6r-7;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;19;19;7r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;20;20;7r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;21;21;7r-7v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;22;22;7v-8;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;23;23;8v-9;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;24;24;9r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;25;25;9r-10;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;26;26;10r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;27;27;10v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;28;28;11r-11v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;29;29;11v-12;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;30;30;12r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;31;31;12v-13;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;32;32;13r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;33;33;13r-13v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;34;34;13v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;35;35;13v-14v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;36;36;14v-16;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;37;37;16r;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;38;38;16v;Paris_AN_JJ_inventaire_JJ37-50.xml
JJ37;39;39;16v;Paris_AN_JJ_inventaire_JJ37-50.xml
