Paris_AN_JJ_inventaire_JJ80.xml_Register;Paris_AN_JJ_inventaire_JJ80.xml_Act_number;Paris_AN_JJ_inventaire_JJ80.xml_Head;Paris_AN_JJ_inventaire_JJ80.xml_Locus;Paris_AN_JJ_inventaire_JJ80.xml_File
JJ80;1;1;1r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;2;2;1r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;3;3;1r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;4;4;1v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;5;5;1v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;6;6;2r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;7;7;2v-5;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;8;8;5r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;9;9;5v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;10;10;6r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;11;11;6r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;12;12;6v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;13;13;6v-8v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;14;14;8v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;15;15;8v-10;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;16;16;10r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;17;17;10v-13v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;18;18;13v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;19;19;13v-14v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;20;20;14v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;21;21;15r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;22;22;15r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;23;23;15v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;24;24;15v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;25;25;16r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;26;26;16r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;27;27;16v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;28;28;17r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;29;29;17v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;30;30;18r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;31;31;18r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;32;32;18v-19v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;33;33;19v-20v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;34;34;20v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;35;35;21r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;36;36;22r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;37;37;22v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;38;38;23r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;39;39;23v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;40;40;24r-25r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;41;41;25r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;42;42;25v-26v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;43;43;26v-28r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;44;44;28r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;45;45;28v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;46;46;29r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;47;47;29v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;48;48;29v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;49;49;30r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;50;50;30r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;51;51;30v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;52;52;30v;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;53;53;31r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;54;54;31r;Paris_AN_JJ_inventaire_JJ80.xml
JJ80;55;55;31v;Paris_AN_JJ_inventaire_JJ80.xml
