Paris_AN_JJ_inventaire_Rouergue.xml_Register;Paris_AN_JJ_inventaire_Rouergue.xml_Act_number;Paris_AN_JJ_inventaire_Rouergue.xml_Head;Paris_AN_JJ_inventaire_Rouergue.xml_Locus;Paris_AN_JJ_inventaire_Rouergue.xml_File
JJ38;133;1;64;Paris_AN_JJ_inventaire_Rouergue.xml
JJ40;137;2;68v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ40;170;3;88;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;1;4;1;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;1;4;1;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;2;5;1;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;2;5;1;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;3;6;1v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;3;6;1v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;4;7;2;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;4;7;2v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;5;8;3v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;5;8;3;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;6;9;4;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;6;9;fol;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42B;7;10;5;Paris_AN_JJ_inventaire_Rouergue.xml
JJ41;7;10;5v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ42A;73;11;98;Paris_AN_JJ_inventaire_Rouergue.xml
JJ44;66;12;37v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ45;36;13;24v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ45;88;14;58v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ46;50;15;45v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ46;69;16;54v;Paris_AN_JJ_inventaire_Rouergue.xml
JJ46;111;17;70v;Paris_AN_JJ_inventaire_Rouergue.xml
